Node:4 | Msg:From:3 | PTZL is working on it | count:18 | RSSI:-54 | SNR:10.00 | Count:1
Node:4 | Msg:From:3 | PTZL is working on it | count:19 | RSSI:-35 | SNR:10.75 | Count:2
Node:4 | Msg:From:3 | PTZL is working on it | count:1 | RSSI:-35 | SNR:11.50 | Count:3
Node:4 | Msg:From:3 | PTZL is working on it | count:3 | RSSI:-37 | SNR:10.25 | Count:4
Node:4 | Msg:From:3 | PTZL is working on it | count:4 | RSSI:-36 | SNR:13.50 | Count:5
Node:4 | Msg:From:3 | PTZL is working on it | count:5 | RSSI:-36 | SNR:10.50 | Count:6
Node:4 | Msg:From:3 | PTZL is working on it | count:6 | RSSI:-36 | SNR:10.75 | Count:7
Node:4 | Msg:From:3 | PTZL is working on it | count:7 | RSSI:-36 | SNR:11.00 | Count:8
Node:4 | Msg:From:3 | PTZL is working on it | count:8 | RSSI:-36 | SNR:11.00 | Count:9
Node:4 | Msg:From:3 | PTZL is working on it | count:9 | RSSI:-36 | SNR:11.00 | Count:10
Node:4 | Msg:From:3 | PTZL is working on it | count:10 | RSSI:-36 | SNR:11.25 | Count:11
Node:4 | Msg:From:3 | PTZL is working on it | count:11 | RSSI:-36 | SNR:10.50 | Count:12
Node:4 | Msg:From:3 | PTZL is working on it | count:12 | RSSI:-36 | SNR:10.50 | Count:13
Node:4 | Msg:From:3 | PTZL is working on it | count:13 | RSSI:-36 | SNR:10.00 | Count:14
Node:4 | Msg:From:3 | PTZL is working on it | count:14 | RSSI:-34 | SNR:10.00 | Count:15
Node:4 | Msg:From:3 | PTZL is working on it | count:15 | RSSI:-37 | SNR:10.50 | Count:16
Node:4 | Msg:From:3 | PTZL is working on it | count:16 | RSSI:-36 | SNR:10.75 | Count:17
Node:4 | Msg:From:3 | PTZL is working on it | count:17 | RSSI:-36 | SNR:10.75 | Count:18
Node:4 | Msg:From:3 | PTZL is working on it | count:18 | RSSI:-36 | SNR:11.50 | Count:19
Node:4 | Msg:From:3 | PTZL is working on it | count:19 | RSSI:-36 | SNR:11.00 | Count:20
Node:4 | Msg:From:3 | PTZL is working on it | count:20 | RSSI:-36 | SNR:10.25 | Count:21
Node:4 | Msg:From:3 | PTZL is working on it | count:21 | RSSI:-36 | SNR:11.50 | Count:22
Node:4 | Msg:From:3 | PTZL is working on it | count:23 | RSSI:-36 | SNR:11.25 | Count:23
Node:4 | Msg:From:3 | PTZL is working on it | count:24 | RSSI:-36 | SNR:10.75 | Count:24
Node:4 | Msg:From:3 | PTZL is working on it | count:25 | RSSI:-36 | SNR:10.75 | Count:25
Node:4 | Msg:From:3 | PTZL is working on it | count:26 | RSSI:-36 | SNR:10.75 | Count:26
Node:4 | Msg:From:3 | PTZL is working on it | count:27 | RSSI:-36 | SNR:11.25 | Count:27
Node:4 | Msg:From:3 | PTZL is working on it | count:29 | RSSI:-36 | SNR:11.25 | Count:28
Node:4 | Msg:From:3 | PTZL is working on it | count:29 | RSSI:-36 | SNR:11.25 | Count:29
Node:4 | Msg:From:3 | PTZL is working on it | count:30 | RSSI:-36 | SNR:11.00 | Count:30
Node:4 | Msg:From:3 | PTZL is working on it | count:31 | RSSI:-36 | SNR:11.00 | Count:31
Node:4 | Msg:From:3 | PTZL is working on it | count:32 | RSSI:-36 | SNR:11.75 | Count:32
Node:4 | Msg:From:3 | PTZL is working on it | count:33 | RSSI:-35 | SNR:10.50 | Count:33
Node:4 | Msg:From:3 | PTZL is working on it | count:34 | RSSI:-36 | SNR:11.00 | Count:34
Node:4 | Msg:From:3 | PTZL is working on it | count:35 | RSSI:-36 | SNR:11.25 | Count:35
Node:4 | Msg:From:3 | PTZL is working on it | count:36 | RSSI:-35 | SNR:11.75 | Count:36
Node:4 | Msg:From:3 | PTZL is working on it | count:38 | RSSI:-41 | SNR:11.25 | Count:37
Node:4 | Msg:From:3 | PTZL is working on it | count:39 | RSSI:-42 | SNR:9.75 | Count:38
Node:4 | Msg:From:3 | PTZL is working on it | count:40 | RSSI:-42 | SNR:10.25 | Count:39
Node:4 | Msg:From:3 | PTZL is working on it | count:40 | RSSI:-42 | SNR:10.25 | Count:40
Node:4 | Msg:From:3 | PTZL is working on it | count:41 | RSSI:-39 | SNR:11.25 | Count:41
Node:4 | Msg:From:3 | PTZL is working on it | count:42 | RSSI:-41 | SNR:9.75 | Count:42
Node:4 | Msg:From:3 | PTZL is working on it | count:43 | RSSI:-42 | SNR:10.75 | Count:43
Node:4 | Msg:From:3 | PTZL is working on it | count:44 | RSSI:-36 | SNR:10.75 | Count:44
Node:4 | Msg:From:3 | PTZL is working on it | count:46 | RSSI:-37 | SNR:10.25 | Count:45
Node:4 | Msg:From:3 | PTZL is working on it | count:47 | RSSI:-36 | SNR:11.00 | Count:46
Node:4 | Msg:From:3 | PTZL is working on it | count:48 | RSSI:-35 | SNR:11.75 | Count:47
Node:4 | Msg:From:3 | PTZL is working on it | count:49 | RSSI:-37 | SNR:10.75 | Count:48
Node:4 | Msg:From:3 | PTZL is working on it | count:50 | RSSI:-37 | SNR:10.25 | Count:49
Node:4 | Msg:From:3 | PTZL is working on it | count:51 | RSSI:-36 | SNR:10.75 | Count:50
Node:4 | Msg:From:3 | PTZL is working on it | count:53 | RSSI:-36 | SNR:11.00 | Count:51
Node:4 | Msg:From:3 | PTZL is working on it | count:54 | RSSI:-36 | SNR:11.00 | Count:52
Node:4 | Msg:From:3 | PTZL is working on it | count:55 | RSSI:-36 | SNR:10.75 | Count:53
Node:4 | Msg:From:3 | PTZL is working on it | count:56 | RSSI:-36 | SNR:10.50 | Count:54
Node:4 | Msg:From:3 | PTZL is working on it | count:57 | RSSI:-37 | SNR:9.75 | Count:55
Node:4 | Msg:From:3 | PTZL is working on it | count:58 | RSSI:-36 | SNR:11.00 | Count:56
Node:4 | Msg:From:3 | PTZL is working on it | count:62 | RSSI:-36 | SNR:10.75 | Count:57
Node:4 | Msg:From:3 | PTZL is working on it | count:64 | RSSI:-36 | SNR:11.25 | Count:58
Node:4 | Msg:From:3 | PTZL is working on it | count:65 | RSSI:-37 | SNR:10.75 | Count:59
Node:4 | Msg:From:3 | PTZL is working on it | count:66 | RSSI:-36 | SNR:11.00 | Count:60
Node:4 | Msg:From:3 | PTZL is working on it | count:67 | RSSI:-36 | SNR:10.50 | Count:61
Node:4 | Msg:From:3 | PTZL is working on it | count:68 | RSSI:-34 | SNR:10.25 | Count:62
Node:4 | Msg:From:3 | PTZL is working on it | count:69 | RSSI:-36 | SNR:10.75 | Count:63
Node:4 | Msg:From:3 | PTZL is working on it | count:70 | RSSI:-36 | SNR:11.00 | Count:64
Node:4 | Msg:From:3 | PTZL is working on it | count:71 | RSSI:-36 | SNR:10.50 | Count:65
Node:4 | Msg:From:3 | PTZL is working on it | count:72 | RSSI:-36 | SNR:10.75 | Count:66
Node:4 | Msg:From:3 | PTZL is working on it | count:73 | RSSI:-36 | SNR:9.75 | Count:67
Node:4 | Msg:From:3 | PTZL is working on it | count:74 | RSSI:-36 | SNR:10.25 | Count:68
Node:4 | Msg:From:3 | PTZL is working on it | count:75 | RSSI:-36 | SNR:10.00 | Count:69
Node:4 | Msg:From:3 | PTZL is working on it | count:76 | RSSI:-36 | SNR:10.25 | Count:70
Node:4 | Msg:From:3 | PTZL is working on it | count:77 | RSSI:-36 | SNR:10.75 | Count:71
Node:4 | Msg:From:3 | PTZL is working on it | count:78 | RSSI:-36 | SNR:10.50 | Count:72
Node:4 | Msg:From:3 | PTZL is working on it | count:79 | RSSI:-36 | SNR:10.75 | Count:73
Node:4 | Msg:From:3 | PTZL is working on it | count:80 | RSSI:-36 | SNR:10.50 | Count:74
Node:4 | Msg:From:3 | PTZL is working on it | count:82 | RSSI:-36 | SNR:11.25 | Count:75
Node:4 | Msg:From:3 | PTZL is working on it | count:83 | RSSI:-36 | SNR:11.00 | Count:76
Node:4 | Msg:From:3 | PTZL is working on it | count:84 | RSSI:-36 | SNR:10.25 | Count:77
Node:4 | Msg:From:3 | PTZL is working on it | count:85 | RSSI:-36 | SNR:10.75 | Count:78
Node:4 | Msg:From:3 | PTZL is working on it | count:86 | RSSI:-36 | SNR:10.75 | Count:79
Node:4 | Msg:From:3 | PTZL is working on it | count:87 | RSSI:-37 | SNR:10.25 | Count:80
Node:4 | Msg:From:3 | PTZL is working on it | count:88 | RSSI:-35 | SNR:11.25 | Count:81
Node:4 | Msg:From:3 | PTZL is working on it | count:89 | RSSI:-36 | SNR:10.25 | Count:82
Node:4 | Msg:From:3 | PTZL is working on it | count:90 | RSSI:-36 | SNR:10.75 | Count:83
Node:4 | Msg:From:3 | PTZL is working on it | count:91 | RSSI:-35 | SNR:13.00 | Count:84
Node:4 | Msg:From:3 | PTZL is working on it | count:92 | RSSI:-37 | SNR:10.75 | Count:85
Node:4 | Msg:From:3 | PTZL is working on it | count:93 | RSSI:-35 | SNR:11.50 | Count:86
Node:4 | Msg:From:3 | PTZL is working on it | count:93 | RSSI:-35 | SNR:11.50 | Count:87
Node:4 | Msg:From:3 | PTZL is working on it | count:94 | RSSI:-36 | SNR:12.50 | Count:88
Node:4 | Msg:From:3 | PTZL is working on it | count:95 | RSSI:-36 | SNR:11.25 | Count:89
